order_id,order_date,product_line,units,order_value,country,fulfillment_center,carrier,promo_type,shipping_cost,delivery_days,promised_days,late_delivery,returned,return_reason
ORD000024,2025-06-14,Signature Hoodie,1,89.0,United States,3PL_Central,Carrier_C,none,7.45,3.4,5,False,False,none
ORD000025,2025-05-27,Cloud Sweatpants,3,234.0,United States,3PL_Central,Carrier_B,none,9.33,5.2,5,True,False,none
ORD000026,2025-02-09,Lounge Set,4,482.8,United States,3PL_Central,Carrier_B,influencer_drop,7.95,4.6,5,False,False,none
ORD000027,2025-03-27,Signature Hoodie,1,75.65,Canada,3PL_International,Passport_Global,influencer_drop,18.59,4.7,9,False,False,none
ORD000028,2025-01-09,Signature Hoodie,2,142.4,United States,3PL_East,Carrier_B,email_drop,6.11,1.6,5,False,False,none
ORD000029,2025-02-01,Cloud Sweatpants,1,62.4,United States,3PL_West,Carrier_A,email_drop,5.57,3.6,5,False,False,none
ORD000030,2025-05-08,Lounge Set,3,426.0,United States,3PL_East,Carrier_A,none,6.47,6.5,5,True,False,none
ORD000031,2025-05-20,Cloud Sweatpants,2,132.6,United States,3PL_West,Carrier_A,email_drop,6.53,3.4,5,False,False,none
ORD000032,2025-06-26,Cloud Sweatpants,1,78.0,United States,3PL_East,Carrier_A,none,7.68,3.9,5,False,False,none
ORD000033,2025-03-05,Weighted Tee,3,162.0,United Kingdom,3PL_International,Passport_Global,none,19.53,5.7,9,False,False,none
ORD000034,2025-03-12,Signature Hoodie,3,226.95,United States,3PL_East,Carrier_C,product_launch,8.37,4.9,5,False,False,none
ORD000035,2025-03-27,Lounge Set,4,482.8,Canada,3PL_International,Passport_Global,email_drop,21.43,3.7,9,False,False,none
ORD000036,2025-02-08,Signature Hoodie,2,178.0,Canada,3PL_International,Passport_Global,none,18.6,5.1,9,False,False,none
ORD000037,2025-01-26,Zip Hoodie,4,384.0,United States,3PL_East,Carrier_A,none,9.9,3.1,5,False,True,fit_issue
ORD000038,2025-03-28,Cloud Sweatpants,2,132.6,United States,3PL_West,Carrier_A,product_launch,6.26,2.3,5,False,False,none
ORD000039,2025-02-15,Signature Hoodie,2,178.0,United States,3PL_West,Carrier_B,none,6.6,1.5,5,False,False,none
ORD000040,2025-05-05,Cloud Sweatpants,1,78.0,United States,3PL_Central,Carrier_B,none,5.67,3.5,5,False,False,none
ORD000041,2025-03-22,Lounge Set,1,142.0,United States,3PL_West,Carrier_D,none,8.26,2.4,5,False,False,none
ORD000042,2025-06-05,Cloud Sweatpants,2,156.0,United States,3PL_West,Carrier_B,none,6.32,4.6,5,False,False,none
ORD000043,2025-05-11,Signature Hoodie,3,267.0,United States,3PL_East,Carrier_C,none,9.59,3.7,5,False,False,none
ORD000044,2025-03-03,Signature Hoodie,1,71.2,United States,3PL_West,Carrier_A,product_launch,4.05,4.7,5,False,False,none
ORD000045,2025-06-05,Zip Hoodie,1,96.0,United States,3PL_East,Carrier_C,none,5.0,3.9,5,False,True,fit_issue
ORD000046,2025-06-01,Zip Hoodie,1,96.0,Germany,3PL_International,Passport_Global,none,18.87,3.0,9,False,False,none
ORD000047,2025-03-15,Cloud Sweatpants,1,70.2,United States,3PL_West,Carrier_D,email_drop,6.82,3.8,5,False,False,none
ORD000048,2025-02-28,Signature Hoodie,3,267.0,United States,3PL_Central,Carrier_C,none,7.92,3.0,5,False,False,none
ORD000049,2025-05-08,Zip Hoodie,2,163.2,United States,3PL_West,Carrier_D,email_drop,7.66,5.2,5,True,False,none
ORD000050,2025-01-29,Signature Hoodie,1,71.2,United States,3PL_East,Carrier_C,email_drop,4.34,3.4,5,False,False,none
ORD000051,2025-02-09,Signature Hoodie,3,267.0,United States,3PL_East,Carrier_D,none,9.16,4.5,5,False,True,changed_mind
ORD000052,2025-01-02,Cloud Sweatpants,1,66.3,United States,3PL_East,Carrier_B,email_drop,6.08,5.3,5,True,False,none
ORD000053,2025-05-29,Cloud Sweatpants,1,66.3,United States,3PL_East,Carrier_A,influencer_drop,4.99,2.6,5,False,False,none
ORD000054,2025-05-04,Weighted Tee,4,172.8,United States,3PL_East,Carrier_B,email_drop,8.86,2.9,5,False,False,none
ORD000055,2025-05-12,Cloud Sweatpants,1,70.2,United States,3PL_Central,Carrier_D,influencer_drop,6.88,2.4,5,False,False,none
ORD000056,2025-05-27,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_D,none,7.82,5.2,5,True,False,none
ORD000057,2025-03-26,Lounge Set,1,120.7,United States,3PL_West,Carrier_D,email_drop,6.0,4.5,5,False,False,none
ORD000058,2025-04-15,Signature Hoodie,2,160.2,United States,3PL_West,Carrier_B,email_drop,6.54,3.3,5,False,False,none
ORD000059,2025-01-29,Weighted Tee,2,108.0,United States,3PL_East,Carrier_C,none,6.35,4.3,5,False,False,none
ORD000060,2025-01-24,Signature Hoodie,3,213.6,United States,3PL_West,Carrier_B,holiday_sale,7.05,6.3,5,True,False,none
ORD000061,2025-05-05,Lounge Set,4,568.0,United States,3PL_East,Carrier_C,none,9.9,2.4,5,False,False,none
ORD000062,2025-03-28,Lounge Set,3,426.0,United States,3PL_Central,Carrier_B,none,6.39,3.3,5,False,False,none
ORD000063,2025-04-14,Lounge Set,2,227.2,Germany,3PL_International,Passport_Global,holiday_sale,19.32,5.0,9,False,False,none
ORD000064,2025-05-24,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_B,none,5.84,5.4,5,True,True,changed_mind
ORD000065,2025-04-28,Lounge Set,4,568.0,United States,3PL_West,Carrier_A,none,8.61,2.9,5,False,True,fit_issue
ORD000066,2025-04-12,Zip Hoodie,2,192.0,Canada,3PL_International,Passport_Global,none,20.58,5.2,9,False,False,none
ORD000067,2025-04-13,Signature Hoodie,1,75.65,United States,3PL_East,Carrier_C,holiday_sale,5.82,4.8,5,False,False,none
ORD000068,2025-03-02,Cloud Sweatpants,2,156.0,United States,3PL_East,Carrier_A,none,6.05,4.3,5,False,False,none
ORD000069,2025-01-07,Zip Hoodie,1,76.8,United States,3PL_East,Carrier_C,email_drop,5.97,4.6,5,False,False,none
ORD000070,2025-03-22,Weighted Tee,1,43.2,Canada,3PL_International,Passport_Global,influencer_drop,17.5,5.2,9,False,False,none
ORD000071,2025-02-13,Lounge Set,2,255.6,United States,3PL_Central,Carrier_A,email_drop,6.3,3.8,5,False,False,none
ORD000072,2025-03-18,Cloud Sweatpants,3,210.6,United States,3PL_West,Carrier_A,product_launch,8.68,3.5,5,False,False,none
ORD000073,2025-06-08,Zip Hoodie,1,76.8,Canada,3PL_International,Passport_Global,influencer_drop,18.31,3.6,9,False,False,none
ORD000074,2025-02-16,Signature Hoodie,4,356.0,Canada,3PL_International,Passport_Global,none,22.19,6.0,9,False,False,none
ORD000075,2025-01-12,Cloud Sweatpants,1,62.4,United States,3PL_East,Carrier_C,product_launch,3.49,3.8,5,False,False,none
ORD000076,2025-02-26,Lounge Set,1,142.0,United States,3PL_East,Carrier_C,none,5.76,2.4,5,False,False,none
ORD000077,2025-02-28,Zip Hoodie,2,192.0,United States,3PL_West,Carrier_C,none,7.85,4.7,5,False,False,none
ORD000078,2025-05-03,Lounge Set,1,142.0,Canada,3PL_International,Passport_Global,none,16.99,3.8,9,False,False,none
ORD000079,2025-04-12,Cloud Sweatpants,3,187.2,United States,3PL_East,Carrier_C,email_drop,7.92,3.6,5,False,True,changed_mind
ORD000080,2025-05-28,Cloud Sweatpants,3,234.0,Canada,3PL_International,Passport_Global,none,20.0,4.9,9,False,False,none
ORD000081,2025-05-04,Zip Hoodie,2,192.0,United States,3PL_East,Carrier_A,none,7.21,5.1,5,True,False,none
ORD000082,2025-03-18,Signature Hoodie,2,178.0,Australia,3PL_International,Passport_Global,none,18.6,5.3,9,False,False,none
ORD000083,2025-06-02,Weighted Tee,4,216.0,United States,3PL_West,Carrier_B,none,9.57,5.8,5,True,False,none
ORD000084,2025-02-03,Weighted Tee,3,162.0,United States,3PL_West,Carrier_D,none,9.36,1.8,5,False,False,none
ORD000085,2025-01-05,Lounge Set,2,255.6,Canada,3PL_International,Passport_Global,holiday_sale,21.21,5.9,9,False,False,none
ORD000086,2025-01-19,Lounge Set,1,142.0,United States,3PL_West,Carrier_B,none,5.78,2.8,5,False,False,none
ORD000087,2025-05-16,Cloud Sweatpants,2,156.0,United States,3PL_West,Carrier_D,none,10.27,3.3,5,False,False,none
ORD000088,2025-03-26,Cloud Sweatpants,1,78.0,United States,3PL_West,Carrier_A,none,6.01,4.7,5,False,False,none
ORD000089,2025-02-02,Lounge Set,1,142.0,United Kingdom,3PL_International,Passport_Global,none,17.59,4.7,9,False,False,none
ORD000090,2025-04-01,Signature Hoodie,2,142.4,United States,3PL_East,Carrier_C,email_drop,6.67,2.4,5,False,False,none
ORD000091,2025-01-31,Lounge Set,1,142.0,United States,3PL_West,Carrier_C,none,5.8,3.2,5,False,False,none
ORD000092,2025-05-10,Signature Hoodie,4,356.0,United States,3PL_East,Carrier_B,none,7.1,1.7,5,False,False,none
ORD000093,2025-03-23,Lounge Set,4,482.8,Canada,3PL_International,Passport_Global,holiday_sale,22.11,5.8,9,False,False,none
ORD000094,2025-03-14,Cloud Sweatpants,1,78.0,Australia,3PL_International,Passport_Global,none,18.03,5.4,9,False,False,none
ORD000095,2025-03-02,Lounge Set,4,568.0,United States,3PL_Central,Carrier_B,none,9.38,4.4,5,False,False,none
ORD000096,2025-04-27,Cloud Sweatpants,4,280.8,United States,3PL_West,Carrier_B,influencer_drop,9.44,4.4,5,False,False,none
ORD000097,2025-03-11,Zip Hoodie,1,86.4,United States,3PL_East,Carrier_B,email_drop,4.46,4.2,5,False,False,none
ORD000098,2025-01-18,Weighted Tee,1,45.9,United States,3PL_West,Carrier_B,email_drop,5.56,6.5,5,True,False,none
ORD000099,2025-01-24,Cloud Sweatpants,4,312.0,United States,3PL_West,Carrier_B,none,8.95,2.6,5,False,False,none
ORD000100,2025-06-25,Signature Hoodie,1,89.0,United States,3PL_Central,Carrier_A,none,4.49,4.6,5,False,False,none
ORD000101,2025-06-17,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_A,none,6.65,4.0,5,False,False,none
ORD000102,2025-05-11,Cloud Sweatpants,2,156.0,United States,3PL_East,Carrier_D,none,9.94,1.9,5,False,False,none
ORD000103,2025-02-23,Zip Hoodie,4,384.0,United States,3PL_Central,Carrier_C,none,8.63,5.0,5,False,True,duplicate_order
ORD000104,2025-06-26,Zip Hoodie,1,76.8,Canada,3PL_International,Passport_Global,product_launch,18.3,3.9,9,False,False,none
ORD000105,2025-05-27,Signature Hoodie,3,240.3,United States,3PL_Central,Carrier_B,email_drop,7.74,2.2,5,False,False,none
ORD000106,2025-05-14,Signature Hoodie,2,178.0,Canada,3PL_International,Passport_Global,none,18.75,6.3,9,False,True,late_delivery
ORD000107,2025-03-24,Lounge Set,1,142.0,Canada,3PL_International,Passport_Global,none,17.53,4.7,9,False,False,none
ORD000108,2025-02-24,Zip Hoodie,1,86.4,United States,3PL_Central,Carrier_C,email_drop,4.47,2.6,5,False,False,none
ORD000109,2025-01-20,Signature Hoodie,2,178.0,United States,3PL_East,Carrier_A,none,6.92,3.1,5,False,False,none
ORD000110,2025-06-16,Signature Hoodie,2,178.0,United States,3PL_East,Carrier_A,none,6.12,4.2,5,False,False,none
ORD000111,2025-03-25,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_B,none,5.96,3.3,5,False,False,none
ORD000112,2025-02-10,Lounge Set,1,113.6,United States,3PL_West,Carrier_C,email_drop,5.12,4.2,5,False,False,none
ORD000113,2025-03-02,Zip Hoodie,2,172.8,United States,3PL_West,Carrier_B,email_drop,5.68,3.3,5,False,False,none
ORD000114,2025-04-17,Zip Hoodie,3,288.0,United States,3PL_West,Carrier_B,none,7.22,6.8,5,True,False,none
ORD000115,2025-02-05,Zip Hoodie,1,96.0,United Kingdom,3PL_International,Passport_Global,none,18.15,2.9,9,False,False,none
ORD000116,2025-06-09,Lounge Set,4,511.2,United States,3PL_West,Carrier_D,email_drop,10.44,2.9,5,False,False,none
ORD000117,2025-05-23,Signature Hoodie,2,178.0,United States,3PL_Central,Carrier_B,none,5.87,3.4,5,False,False,none
ORD000118,2025-05-15,Signature Hoodie,1,75.65,United States,3PL_Central,Carrier_A,email_drop,6.75,3.5,5,False,False,none
ORD000119,2025-03-22,Cloud Sweatpants,2,156.0,United Kingdom,3PL_International,Passport_Global,none,17.92,4.2,9,False,False,none
ORD000120,2025-04-26,Weighted Tee,2,86.4,Germany,3PL_International,Passport_Global,email_drop,20.05,3.5,9,False,False,none
ORD000121,2025-04-18,Cloud Sweatpants,3,198.9,United States,3PL_East,Carrier_C,product_launch,8.66,4.4,5,False,False,none
ORD000122,2025-05-01,Cloud Sweatpants,4,312.0,United States,3PL_West,Carrier_D,none,11.42,5.1,5,True,False,none
ORD000123,2025-01-18,Lounge Set,3,426.0,United States,3PL_West,Carrier_B,none,8.37,3.3,5,False,False,none
ORD000124,2025-03-19,Signature Hoodie,1,71.2,United States,3PL_West,Carrier_A,email_drop,4.84,4.2,5,False,False,none
ORD000125,2025-01-09,Cloud Sweatpants,1,78.0,United Kingdom,3PL_International,Passport_Global,none,17.42,3.7,9,False,False,none
ORD000126,2025-03-31,Zip Hoodie,3,288.0,United States,3PL_West,Carrier_D,none,11.1,5.3,5,True,False,none
ORD000127,2025-03-06,Weighted Tee,3,162.0,United States,3PL_West,Carrier_A,none,8.6,3.9,5,False,False,none
ORD000128,2025-01-30,Signature Hoodie,2,151.3,United States,3PL_West,Carrier_B,holiday_sale,7.01,5.5,5,True,False,none
ORD000129,2025-01-21,Cloud Sweatpants,1,78.0,United States,3PL_East,Carrier_B,none,5.01,2.9,5,False,False,none
ORD000130,2025-04-19,Lounge Set,4,454.4,United States,3PL_West,Carrier_B,holiday_sale,8.2,4.8,5,False,False,none
ORD000131,2025-02-04,Zip Hoodie,2,192.0,United States,3PL_Central,Carrier_B,none,5.68,2.2,5,False,False,none
ORD000132,2025-06-19,Zip Hoodie,1,96.0,United States,3PL_West,Carrier_B,none,4.91,5.0,5,False,False,none
ORD000133,2025-04-17,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_D,none,7.05,4.8,5,False,False,none
ORD000134,2025-03-09,Signature Hoodie,1,71.2,United States,3PL_East,Carrier_A,email_drop,5.6,2.2,5,False,False,none
ORD000135,2025-04-19,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_C,none,6.43,3.6,5,False,True,late_delivery
ORD000136,2025-01-05,Signature Hoodie,1,89.0,United Kingdom,3PL_International,Passport_Global,none,19.58,4.7,9,False,False,none
ORD000137,2025-06-24,Lounge Set,2,284.0,United States,3PL_East,Carrier_A,none,7.82,4.8,5,False,False,none
ORD000138,2025-03-29,Zip Hoodie,1,96.0,United States,3PL_East,Carrier_A,none,4.46,3.3,5,False,False,none
ORD000139,2025-05-28,Lounge Set,1,142.0,United States,3PL_West,Carrier_A,none,4.86,3.4,5,False,False,none
ORD000140,2025-01-17,Signature Hoodie,1,89.0,United Kingdom,3PL_International,Passport_Global,none,17.11,5.7,9,False,False,none
ORD000141,2025-03-30,Signature Hoodie,2,178.0,United States,3PL_Central,Carrier_B,none,7.5,4.7,5,False,False,none
ORD000142,2025-03-30,Zip Hoodie,4,326.4,Australia,3PL_International,Passport_Global,product_launch,21.96,4.6,9,False,False,none
ORD000143,2025-06-21,Signature Hoodie,3,267.0,United States,3PL_East,Carrier_C,none,7.39,4.5,5,False,False,none
ORD000144,2025-04-15,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_C,none,5.4,5.0,5,False,False,none
ORD000145,2025-03-28,Cloud Sweatpants,2,156.0,United States,3PL_East,Carrier_D,none,8.62,2.8,5,False,False,none
ORD000146,2025-02-23,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_C,none,5.94,3.9,5,False,False,none
ORD000147,2025-03-06,Signature Hoodie,1,75.65,United States,3PL_West,Carrier_B,email_drop,6.49,4.5,5,False,False,none
ORD000148,2025-04-05,Signature Hoodie,1,89.0,United States,3PL_West,Carrier_B,none,5.67,3.8,5,False,False,none
ORD000149,2025-03-22,Lounge Set,2,284.0,United States,3PL_Central,Carrier_D,none,8.28,2.5,5,False,False,none
ORD000150,2025-01-05,Signature Hoodie,1,71.2,United States,3PL_East,Carrier_B,email_drop,5.83,1.8,5,False,False,none
ORD000151,2025-06-04,Cloud Sweatpants,2,156.0,United States,3PL_West,Carrier_B,none,6.48,5.3,5,True,False,none
ORD000152,2025-06-15,Cloud Sweatpants,2,124.8,United States,3PL_East,Carrier_A,product_launch,6.97,6.7,5,True,False,none
ORD000153,2025-01-29,Cloud Sweatpants,4,280.8,United States,3PL_East,Carrier_A,product_launch,8.8,4.0,5,False,False,none
ORD000154,2025-04-12,Cloud Sweatpants,1,78.0,United States,3PL_East,Carrier_C,none,6.45,4.4,5,False,False,none
ORD000155,2025-01-22,Signature Hoodie,4,356.0,United States,3PL_West,Carrier_A,none,9.97,5.1,5,True,False,none
ORD000156,2025-05-05,Signature Hoodie,3,267.0,United States,3PL_Central,Carrier_A,none,7.64,2.7,5,False,False,none
ORD000157,2025-02-26,Cloud Sweatpants,2,156.0,United Kingdom,3PL_International,Passport_Global,none,20.71,5.1,9,False,True,changed_mind
ORD000158,2025-05-03,Weighted Tee,3,162.0,United States,3PL_East,Carrier_C,none,7.96,4.9,5,False,True,quality_issue
ORD000159,2025-05-16,Cloud Sweatpants,1,78.0,United States,3PL_Central,Carrier_D,none,7.64,3.3,5,False,False,none
ORD000160,2025-05-25,Cloud Sweatpants,1,78.0,United States,3PL_West,Carrier_C,none,6.65,3.6,5,False,False,none
ORD000161,2025-01-22,Weighted Tee,1,54.0,United States,3PL_West,Carrier_B,none,7.12,4.9,5,False,False,none
ORD000162,2025-06-18,Lounge Set,3,426.0,United States,3PL_East,Carrier_B,none,8.74,3.5,5,False,False,none
ORD000163,2025-02-16,Lounge Set,1,120.7,United States,3PL_East,Carrier_A,product_launch,5.76,3.3,5,False,False,none
ORD000164,2025-01-08,Cloud Sweatpants,1,62.4,United States,3PL_West,Carrier_A,product_launch,5.2,4.8,5,False,False,none
ORD000165,2025-04-12,Lounge Set,2,284.0,United States,3PL_East,Carrier_D,none,8.7,5.4,5,True,False,none
ORD000166,2025-03-12,Cloud Sweatpants,1,70.2,United States,3PL_West,Carrier_C,email_drop,5.98,4.6,5,False,False,none
ORD000167,2025-06-05,Zip Hoodie,2,192.0,United States,3PL_East,Carrier_A,none,6.98,4.1,5,False,False,none
ORD000168,2025-06-01,Lounge Set,4,511.2,United States,3PL_West,Carrier_B,email_drop,8.77,4.6,5,False,False,none
ORD000169,2025-03-04,Cloud Sweatpants,1,78.0,United States,3PL_West,Carrier_D,none,6.69,3.4,5,False,False,none
ORD000170,2025-06-23,Weighted Tee,4,194.4,United States,3PL_East,Carrier_B,holiday_sale,9.11,5.8,5,True,False,none
ORD000171,2025-02-28,Weighted Tee,2,108.0,United States,3PL_East,Carrier_A,none,6.11,3.7,5,False,False,none
ORD000172,2025-04-04,Cloud Sweatpants,1,78.0,United States,3PL_East,Carrier_A,none,4.14,3.5,5,False,False,none
ORD000173,2025-02-21,Signature Hoodie,4,320.4,United States,3PL_West,Carrier_B,product_launch,8.22,4.8,5,False,False,none
ORD000174,2025-06-21,Lounge Set,2,284.0,Australia,3PL_International,Passport_Global,none,18.66,4.7,9,False,False,none
ORD000175,2025-02-02,Signature Hoodie,1,89.0,Canada,3PL_International,Passport_Global,none,17.24,6.8,9,False,False,none
ORD000176,2025-01-10,Cloud Sweatpants,1,62.4,United States,3PL_East,Carrier_B,email_drop,5.64,3.0,5,False,False,none
ORD000177,2025-03-22,Signature Hoodie,3,240.3,United States,3PL_Central,Carrier_B,influencer_drop,6.75,4.0,5,False,False,none
ORD000178,2025-06-29,Lounge Set,2,227.2,United States,3PL_Central,Carrier_A,email_drop,5.68,3.3,5,False,False,none
ORD000179,2025-06-14,Weighted Tee,2,86.4,United States,3PL_West,Carrier_A,influencer_drop,7.61,4.8,5,False,False,none
ORD000180,2025-05-21,Signature Hoodie,2,160.2,Canada,3PL_International,Passport_Global,email_drop,19.74,5.2,9,False,False,none
ORD000181,2025-06-14,Zip Hoodie,1,96.0,United States,3PL_East,Carrier_B,none,5.69,3.6,5,False,False,none
ORD000182,2025-06-14,Lounge Set,1,142.0,United States,3PL_Central,Carrier_B,none,6.56,3.8,5,False,False,none
ORD000183,2025-04-05,Signature Hoodie,2,151.3,Canada,3PL_International,Passport_Global,influencer_drop,18.42,4.4,9,False,False,none
ORD000184,2025-03-04,Signature Hoodie,4,284.8,Canada,3PL_International,Passport_Global,holiday_sale,21.88,5.3,9,False,False,none
ORD000185,2025-05-25,Cloud Sweatpants,1,78.0,United States,3PL_West,Carrier_B,none,5.28,4.8,5,False,False,none
ORD000186,2025-05-03,Lounge Set,3,426.0,United States,3PL_West,Carrier_C,none,8.93,7.5,5,True,False,none
ORD000187,2025-03-13,Cloud Sweatpants,4,249.6,United States,3PL_East,Carrier_D,influencer_drop,10.87,4.9,5,False,False,none
ORD000188,2025-01-19,Signature Hoodie,1,89.0,United States,3PL_Central,Carrier_A,none,4.73,2.6,5,False,False,none
ORD000189,2025-05-20,Signature Hoodie,1,89.0,United Kingdom,3PL_International,Passport_Global,none,18.92,6.9,9,False,False,none
ORD000190,2025-02-22,Cloud Sweatpants,4,249.6,United States,3PL_East,Carrier_A,influencer_drop,8.56,4.2,5,False,False,none
ORD000191,2025-06-21,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_D,none,6.29,4.3,5,False,False,none
ORD000192,2025-02-18,Zip Hoodie,3,288.0,United States,3PL_West,Carrier_B,none,8.95,2.3,5,False,False,none
ORD000193,2025-01-25,Signature Hoodie,3,267.0,United Kingdom,3PL_International,Passport_Global,none,20.64,3.4,9,False,False,none
ORD000194,2025-06-05,Lounge Set,1,142.0,United States,3PL_East,Carrier_A,none,4.74,4.4,5,False,False,none
ORD000195,2025-01-31,Zip Hoodie,1,76.8,United States,3PL_West,Carrier_A,influencer_drop,5.34,4.2,5,False,False,none
ORD000196,2025-02-06,Lounge Set,2,284.0,Canada,3PL_International,Passport_Global,none,18.87,6.1,9,False,False,none
ORD000197,2025-04-21,Signature Hoodie,2,178.0,Canada,3PL_International,Passport_Global,none,18.26,5.6,9,False,False,none
ORD000198,2025-06-12,Zip Hoodie,4,384.0,United States,3PL_Central,Carrier_B,none,8.19,4.0,5,False,False,none
ORD000199,2025-02-09,Lounge Set,2,284.0,United States,3PL_East,Carrier_A,none,6.5,1.0,5,False,False,none
ORD000200,2025-03-03,Cloud Sweatpants,4,312.0,Germany,3PL_International,Passport_Global,none,22.06,4.0,9,False,False,none
ORD000201,2025-05-26,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_C,none,6.09,2.2,5,False,False,none
ORD000202,2025-06-26,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_B,none,4.99,5.7,5,True,False,none
ORD000203,2025-04-01,Zip Hoodie,1,96.0,United States,3PL_East,Carrier_C,none,6.09,3.9,5,False,False,none
ORD000204,2025-01-29,Cloud Sweatpants,2,156.0,Canada,3PL_International,Passport_Global,none,20.17,4.4,9,False,False,none
ORD000205,2025-01-03,Weighted Tee,1,54.0,United Kingdom,3PL_International,Passport_Global,none,17.14,3.9,9,False,True,changed_mind
ORD000206,2025-02-16,Lounge Set,4,568.0,United States,3PL_East,Carrier_A,none,9.46,5.1,5,True,False,none
ORD000207,2025-01-27,Zip Hoodie,3,288.0,United States,3PL_East,Carrier_B,none,7.74,2.7,5,False,False,none
ORD000208,2025-05-07,Weighted Tee,4,216.0,United States,3PL_West,Carrier_A,none,8.66,2.9,5,False,False,none
ORD000209,2025-01-25,Zip Hoodie,4,384.0,United States,3PL_East,Carrier_A,none,8.89,2.8,5,False,False,none
ORD000210,2025-04-02,Signature Hoodie,1,89.0,United Kingdom,3PL_International,Passport_Global,none,18.48,4.6,9,False,False,none
ORD000211,2025-05-10,Signature Hoodie,3,213.6,United States,3PL_West,Carrier_C,email_drop,6.72,2.4,5,False,False,none
ORD000212,2025-04-17,Lounge Set,2,284.0,United States,3PL_Central,Carrier_B,none,6.58,4.6,5,False,False,none
ORD000213,2025-02-09,Signature Hoodie,3,213.6,United States,3PL_Central,Carrier_C,influencer_drop,7.43,3.3,5,False,False,none
ORD000214,2025-06-01,Weighted Tee,4,194.4,United States,3PL_Central,Carrier_D,email_drop,10.69,2.0,5,False,False,none
ORD000215,2025-05-14,Signature Hoodie,2,178.0,United States,3PL_East,Carrier_C,none,6.43,2.5,5,False,True,fit_issue
ORD000216,2025-05-19,Signature Hoodie,1,89.0,United States,3PL_East,Carrier_D,none,6.62,2.0,5,False,True,late_delivery
