call_id,customer_id,agent_use_case,intent,contained,escalated,customer_sentiment,minutes_saved,revenue_influenced
C001-0078,C001,support triage,eligibility,0,1,2.71,3,0
C001-0079,C001,appointment scheduling,cancel,1,0,4.86,6,0
C001-0080,C001,sales qualification,reschedule,1,0,3.33,3,0
C001-0081,C001,support triage,pricing,0,1,2.26,0,0
C001-0082,C001,renewal reminder,purchase intent,0,1,2.6,2,0
C001-0083,C001,support triage,technical issue,1,0,2.88,3,0
C001-0084,C001,appointment scheduling,eligibility,1,0,3.29,8,0
C001-0085,C001,sales qualification,cancel,1,0,4.62,5,250
C001-0086,C001,support triage,cancel,1,0,2.7,11,0
C001-0087,C001,sales qualification,cancel,1,0,4.36,4,0
C001-0088,C001,sales qualification,cancel,1,0,2.6,7,0
C001-0089,C001,sales qualification,purchase intent,1,0,4.8,12,250
C001-0090,C001,renewal reminder,purchase intent,0,1,1.7,4,0
C001-0091,C001,sales qualification,purchase intent,1,0,4.5,9,1500
C001-0092,C001,sales qualification,eligibility,0,0,3.05,1,0
C001-0093,C001,support triage,cancel,1,0,2.82,4,0
C001-0094,C001,renewal reminder,purchase intent,0,0,2.66,4,0
C001-0095,C001,sales qualification,purchase intent,1,0,2.51,11,0
C001-0096,C001,support triage,technical issue,0,0,2.89,2,0
C001-0097,C001,support triage,reschedule,0,0,2.86,1,0
C001-0098,C001,renewal reminder,technical issue,1,0,3.42,7,0
C001-0099,C001,support triage,pricing,1,0,4.04,12,0
C001-0100,C001,sales qualification,eligibility,1,0,4.06,12,500
C001-0101,C001,sales qualification,purchase intent,1,0,2.65,4,500
C001-0102,C001,sales qualification,cancel,0,1,2.82,3,0
C001-0103,C001,renewal reminder,eligibility,1,0,2.78,6,0
C001-0104,C001,appointment scheduling,technical issue,0,1,1.44,0,0
C001-0105,C001,renewal reminder,reschedule,0,1,1.82,0,0
C001-0106,C001,support triage,cancel,1,0,3.76,5,0
C001-0107,C001,appointment scheduling,technical issue,0,1,1.86,3,0
C001-0108,C001,support triage,purchase intent,1,0,4.78,10,0
C001-0109,C001,renewal reminder,cancel,1,0,2.84,9,0
C001-0110,C001,appointment scheduling,cancel,1,0,3.3,8,0
C001-0111,C001,renewal reminder,purchase intent,1,0,4.72,3,0
C001-0112,C001,appointment scheduling,technical issue,1,0,2.66,12,0
C001-0113,C001,support triage,cancel,1,0,3.53,3,0
C001-0114,C001,appointment scheduling,cancel,1,0,4.5,5,0
C001-0115,C001,sales qualification,reschedule,0,1,2.42,2,0
C001-0116,C001,renewal reminder,eligibility,0,1,3.23,4,0
C001-0117,C001,sales qualification,technical issue,0,0,3.27,3,0
C001-0118,C001,sales qualification,eligibility,0,1,2.37,1,0
C001-0119,C001,sales qualification,cancel,1,0,3.32,7,500
C001-0120,C001,renewal reminder,eligibility,1,0,3.22,9,0
C001-0121,C001,support triage,reschedule,1,0,2.89,11,0
C001-0122,C001,renewal reminder,cancel,1,0,3.59,10,0
C001-0123,C001,renewal reminder,pricing,1,0,2.96,5,0
C001-0124,C001,appointment scheduling,cancel,1,0,3.27,7,0
C001-0125,C001,sales qualification,purchase intent,0,1,2.17,4,0
C001-0126,C001,sales qualification,technical issue,1,0,3.31,7,0
C001-0127,C001,appointment scheduling,purchase intent,1,0,3.71,6,0
C001-0128,C001,support triage,technical issue,1,0,3.1,10,0
C001-0129,C001,renewal reminder,technical issue,0,0,1.65,3,0
C001-0130,C001,renewal reminder,eligibility,1,0,3.44,10,0
C001-0131,C001,renewal reminder,reschedule,1,0,2.76,5,0
C001-0132,C001,support triage,pricing,0,1,1.57,0,0
C001-0133,C001,sales qualification,reschedule,1,0,4.71,7,500
C001-0134,C001,renewal reminder,cancel,0,0,1.6,4,0
C001-0135,C001,sales qualification,pricing,1,0,3.04,3,1500
C001-0136,C001,appointment scheduling,purchase intent,0,1,3.32,1,0
C001-0137,C001,renewal reminder,pricing,1,0,3.81,9,0
C001-0138,C001,appointment scheduling,purchase intent,1,0,2.97,9,0
C001-0139,C001,support triage,cancel,1,0,4.1,6,0
C001-0140,C001,renewal reminder,technical issue,1,0,3.31,8,0
C001-0141,C001,renewal reminder,purchase intent,1,0,4.41,11,0
C001-0142,C001,support triage,cancel,1,0,4.83,6,0
C001-0143,C001,sales qualification,pricing,1,0,3.14,12,500
C001-0144,C001,renewal reminder,technical issue,1,0,4.65,9,0
C001-0145,C001,support triage,pricing,0,0,3.24,1,0
C001-0146,C001,support triage,purchase intent,0,0,2.23,0,0
C001-0147,C001,sales qualification,purchase intent,1,0,4.66,4,500
C001-0148,C001,support triage,purchase intent,0,1,1.78,4,0
C001-0149,C001,renewal reminder,technical issue,1,0,4.09,8,0
C001-0150,C001,appointment scheduling,pricing,1,0,2.76,7,0
C001-0151,C001,support triage,pricing,1,0,4.79,11,0
C001-0152,C001,sales qualification,technical issue,1,0,4.34,4,500
C001-0153,C001,support triage,technical issue,0,0,2.15,1,0
C001-0154,C001,appointment scheduling,pricing,1,0,4.65,9,0
C001-0155,C001,sales qualification,pricing,0,1,1.48,3,0
C001-0156,C001,support triage,purchase intent,0,0,1.91,0,0
C001-0157,C001,appointment scheduling,eligibility,1,0,3.3,3,0
C001-0158,C001,appointment scheduling,cancel,0,1,3.25,0,0
C001-0159,C001,support triage,technical issue,1,0,3.06,10,0
C001-0160,C001,renewal reminder,reschedule,0,1,3.03,3,0
C001-0161,C001,sales qualification,purchase intent,1,0,4.73,5,500
C001-0162,C001,sales qualification,eligibility,1,0,3.27,4,500
C001-0163,C001,sales qualification,pricing,1,0,2.88,3,1000
C001-0164,C001,renewal reminder,technical issue,1,0,3.28,4,0
C001-0165,C001,support triage,pricing,1,0,2.7,9,0
C001-0166,C001,renewal reminder,reschedule,0,1,1.75,3,0
C001-0167,C001,renewal reminder,purchase intent,1,0,4.12,11,0
C001-0168,C001,support triage,eligibility,0,1,1.99,2,0
C001-0169,C001,appointment scheduling,technical issue,1,0,3.12,6,0
C001-0170,C001,sales qualification,reschedule,1,0,2.87,8,1500
C001-0171,C001,support triage,eligibility,1,0,4.88,11,0
C001-0172,C001,sales qualification,pricing,0,0,2.71,0,0
C001-0173,C001,support triage,technical issue,1,0,4.47,8,0
C001-0174,C001,support triage,reschedule,0,0,1.64,4,0
C001-0175,C001,sales qualification,reschedule,0,1,2.43,3,0
C001-0176,C001,appointment scheduling,eligibility,0,0,1.61,4,0
C001-0177,C001,appointment scheduling,reschedule,1,0,3.38,3,0
C001-0178,C001,sales qualification,purchase intent,0,0,2.6,1,0
C001-0179,C001,support triage,reschedule,0,1,2.76,4,0
C001-0180,C001,appointment scheduling,technical issue,1,0,2.58,11,0
C001-0181,C001,renewal reminder,technical issue,1,0,2.74,11,0
C001-0182,C001,sales qualification,technical issue,0,0,2.71,2,0
C001-0183,C001,renewal reminder,pricing,0,1,2.24,2,0
C001-0184,C001,appointment scheduling,cancel,1,0,2.54,6,0
C001-0185,C001,renewal reminder,technical issue,0,0,3.28,1,0
C001-0186,C001,renewal reminder,eligibility,1,0,2.72,8,0
C001-0187,C001,renewal reminder,eligibility,0,0,1.43,1,0
C001-0188,C001,renewal reminder,cancel,1,0,3.99,11,0
C001-0189,C001,sales qualification,reschedule,1,0,3.18,4,1500
C001-0190,C001,support triage,reschedule,1,0,4.31,7,0
C001-0191,C001,sales qualification,technical issue,0,0,3.35,2,0
C001-0192,C001,support triage,pricing,1,0,4.03,12,0
C001-0193,C001,sales qualification,eligibility,0,0,2.64,1,0
C001-0194,C001,renewal reminder,technical issue,1,0,3.02,11,0
C001-0195,C001,sales qualification,purchase intent,1,0,2.8,6,250
C001-0196,C001,support triage,cancel,0,0,2.74,0,0
C001-0197,C001,renewal reminder,purchase intent,1,0,3.82,7,0
C001-0198,C001,renewal reminder,technical issue,1,0,3.1,8,0
C001-0199,C001,renewal reminder,pricing,1,0,2.93,12,0
C001-0200,C001,renewal reminder,eligibility,1,0,3.57,10,0
C001-0201,C001,sales qualification,reschedule,0,1,1.61,2,0
C001-0202,C001,renewal reminder,eligibility,1,0,4.43,11,0
C001-0203,C001,support triage,purchase intent,1,0,2.81,8,0
C001-0204,C001,support triage,technical issue,1,0,3.71,5,0
C001-0205,C001,support triage,technical issue,0,0,1.79,2,0
C001-0206,C001,sales qualification,cancel,0,0,1.53,4,0
C001-0207,C001,appointment scheduling,cancel,1,0,4.65,10,0
C001-0208,C001,sales qualification,reschedule,1,0,4.81,12,1000
C001-0209,C001,appointment scheduling,cancel,1,0,3.07,3,0
C001-0210,C001,sales qualification,purchase intent,1,0,2.89,8,500
C001-0211,C001,renewal reminder,pricing,1,0,4.38,11,0
C001-0212,C001,support triage,technical issue,0,1,3.33,4,0
C002-0000,C002,sales qualification,pricing,0,0,1.44,4,0
C002-0001,C002,appointment scheduling,eligibility,1,0,3.76,6,0
C002-0002,C002,renewal reminder,reschedule,1,0,3.91,8,0
C002-0003,C002,renewal reminder,reschedule,1,0,2.53,5,0
C002-0004,C002,renewal reminder,purchase intent,1,0,4.03,7,0
C002-0005,C002,renewal reminder,eligibility,0,0,1.51,2,0
C002-0006,C002,renewal reminder,technical issue,1,0,3.74,6,0
C002-0007,C002,sales qualification,pricing,0,0,1.52,3,0
C002-0008,C002,sales qualification,pricing,1,0,2.64,12,0
C002-0009,C002,sales qualification,purchase intent,1,0,2.98,11,1500
C002-0010,C002,renewal reminder,pricing,0,0,2.42,2,0
C002-0011,C002,support triage,pricing,0,1,2.83,3,0
C002-0012,C002,renewal reminder,purchase intent,0,1,1.56,3,0
C002-0013,C002,sales qualification,purchase intent,1,0,2.75,3,250
C002-0014,C002,support triage,purchase intent,1,0,4.3,7,0
C002-0015,C002,support triage,technical issue,1,0,3.83,11,0
C002-0016,C002,appointment scheduling,reschedule,1,0,4.73,4,0
C002-0017,C002,support triage,purchase intent,1,0,4.67,6,0
C002-0018,C002,sales qualification,technical issue,0,1,1.78,2,0
C002-0019,C002,sales qualification,technical issue,1,0,4.54,10,1500
C002-0020,C002,support triage,reschedule,0,1,3.31,4,0
C002-0021,C002,appointment scheduling,pricing,0,1,2.65,4,0
C002-0022,C002,sales qualification,eligibility,1,0,2.56,5,0
C002-0023,C002,appointment scheduling,reschedule,0,0,1.46,0,0
C002-0024,C002,support triage,cancel,0,0,3.11,1,0
C002-0025,C002,support triage,reschedule,0,1,1.61,1,0
C002-0026,C002,support triage,purchase intent,1,0,4.78,4,0
C002-0027,C002,appointment scheduling,purchase intent,1,0,2.82,6,0
C002-0028,C002,appointment scheduling,pricing,1,0,3.52,8,0
C002-0029,C002,appointment scheduling,cancel,0,0,2.83,2,0
C002-0030,C002,renewal reminder,pricing,0,0,2.98,3,0
C002-0031,C002,support triage,eligibility,1,0,4.19,12,0
C002-0032,C002,sales qualification,cancel,0,0,2.55,1,0
C002-0033,C002,renewal reminder,pricing,1,0,2.98,3,0
C002-0034,C002,appointment scheduling,reschedule,1,0,3.68,10,0
C002-0035,C002,appointment scheduling,reschedule,0,1,2.56,2,0
C002-0036,C002,sales qualification,pricing,0,0,2.4,0,0
C002-0037,C002,renewal reminder,cancel,0,0,2.66,0,0
C002-0038,C002,renewal reminder,purchase intent,0,0,2.24,0,0
C002-0039,C002,appointment scheduling,eligibility,1,0,3.13,11,0
C002-0040,C002,sales qualification,technical issue,1,0,4.62,5,250
C002-0041,C002,support triage,reschedule,1,0,3.28,10,0
C002-0042,C002,appointment scheduling,cancel,1,0,3.55,12,0
C002-0043,C002,sales qualification,eligibility,1,0,3.61,6,250
C002-0044,C002,appointment scheduling,eligibility,1,0,4.19,5,0
C002-0045,C002,sales qualification,cancel,0,1,2.61,1,0
C002-0046,C002,sales qualification,reschedule,1,0,2.95,4,0
C002-0047,C002,sales qualification,purchase intent,1,0,4.86,7,500
C002-0048,C002,renewal reminder,pricing,1,0,2.76,7,0
C002-0049,C002,sales qualification,technical issue,0,1,1.47,3,0
C002-0050,C002,sales qualification,pricing,1,0,4.02,5,1000
C002-0051,C002,appointment scheduling,purchase intent,1,0,3.47,6,0
C002-0052,C002,renewal reminder,purchase intent,0,1,3.09,4,0
C002-0053,C002,sales qualification,cancel,0,0,2.31,2,0
C002-0054,C002,support triage,purchase intent,0,0,2.96,1,0
C002-0055,C002,appointment scheduling,eligibility,0,1,2.31,3,0
C002-0056,C002,sales qualification,technical issue,0,1,2.96,3,0
C002-0057,C002,support triage,reschedule,1,0,3.8,6,0
C002-0058,C002,appointment scheduling,eligibility,1,0,3.88,6,0
C002-0059,C002,renewal reminder,cancel,1,0,4.03,11,0
C002-0060,C002,appointment scheduling,reschedule,1,0,4.78,5,0
C002-0061,C002,renewal reminder,purchase intent,1,0,4.74,12,0
C002-0062,C002,appointment scheduling,technical issue,1,0,3.11,9,0
C002-0063,C002,support triage,technical issue,1,0,3.5,8,0
C002-0064,C002,appointment scheduling,technical issue,1,0,3.23,11,0
C002-0065,C002,sales qualification,reschedule,0,1,2.32,1,0
C002-0066,C002,support triage,eligibility,0,0,2.34,1,0
C002-0067,C002,sales qualification,technical issue,1,0,4.03,7,1000
C002-0068,C002,sales qualification,reschedule,0,1,2.11,2,0
C002-0069,C002,renewal reminder,technical issue,0,1,2.76,0,0
C002-0070,C002,appointment scheduling,cancel,1,0,4.07,10,0
C002-0071,C002,renewal reminder,purchase intent,1,0,4.03,8,0
C002-0072,C002,sales qualification,eligibility,0,1,1.51,2,0
C002-0073,C002,sales qualification,pricing,1,0,3.33,3,1500
C002-0074,C002,sales qualification,pricing,0,1,1.9,4,0
C002-0075,C002,sales qualification,cancel,0,0,2.95,1,0
C002-0076,C002,sales qualification,purchase intent,0,0,2.62,4,0
C002-0077,C002,support triage,purchase intent,0,1,1.79,1,0
C002-0078,C002,support triage,pricing,0,1,2.74,4,0
C002-0079,C002,support triage,reschedule,1,0,3.06,10,0
C002-0080,C002,renewal reminder,reschedule,1,0,3.66,10,0
C002-0081,C002,sales qualification,reschedule,1,0,3.79,8,0
C002-0082,C002,renewal reminder,technical issue,0,1,2.73,2,0
C002-0083,C002,renewal reminder,pricing,1,0,4.81,5,0
C002-0084,C002,appointment scheduling,eligibility,1,0,2.57,3,0
C002-0085,C002,appointment scheduling,technical issue,0,0,2.42,1,0
C002-0086,C002,support triage,reschedule,1,0,3.5,8,0
C002-0087,C002,support triage,eligibility,0,1,2.08,4,0
C002-0088,C002,sales qualification,eligibility,1,0,3.32,3,500
C002-0089,C002,appointment scheduling,technical issue,1,0,4.49,8,0
C002-0090,C002,appointment scheduling,purchase intent,0,1,3.35,3,0
C002-0091,C002,support triage,cancel,1,0,3.26,5,0
C002-0092,C002,support triage,eligibility,0,0,2.2,3,0
C002-0093,C002,support triage,pricing,1,0,2.76,6,0
C002-0094,C002,renewal reminder,eligibility,1,0,4.08,11,0
C002-0095,C002,renewal reminder,purchase intent,1,0,4.0,12,0
C002-0096,C002,support triage,technical issue,1,0,4.1,5,0
C002-0097,C002,support triage,pricing,0,0,2.24,0,0
C002-0098,C002,appointment scheduling,eligibility,0,0,2.97,2,0
C002-0099,C002,appointment scheduling,pricing,1,0,2.58,9,0
C002-0100,C002,support triage,pricing,1,0,3.75,9,0
C002-0101,C002,renewal reminder,technical issue,1,0,2.53,12,0
C002-0102,C002,sales qualification,pricing,1,0,3.49,10,0
C002-0103,C002,sales qualification,pricing,0,0,2.25,0,0
C002-0104,C002,support triage,technical issue,1,0,2.79,3,0
C002-0105,C002,appointment scheduling,purchase intent,0,0,2.3,1,0
C002-0106,C002,support triage,purchase intent,1,0,4.29,5,0
C002-0107,C002,support triage,technical issue,1,0,3.84,10,0
C002-0108,C002,appointment scheduling,pricing,0,0,2.83,0,0
C002-0109,C002,support triage,cancel,0,0,2.18,4,0
C002-0110,C002,sales qualification,cancel,0,1,2.62,2,0
C002-0111,C002,renewal reminder,pricing,1,0,2.9,8,0
C002-0112,C002,sales qualification,technical issue,0,1,2.35,2,0
C002-0113,C002,appointment scheduling,purchase intent,1,0,2.65,12,0
C002-0114,C002,appointment scheduling,eligibility,0,0,3.06,2,0
C002-0115,C002,renewal reminder,purchase intent,0,0,2.15,3,0
C002-0116,C002,sales qualification,cancel,0,1,2.78,2,0
C002-0117,C002,appointment scheduling,pricing,1,0,3.91,7,0
C002-0118,C002,sales qualification,eligibility,0,0,1.95,3,0
C002-0119,C002,appointment scheduling,technical issue,1,0,3.8,9,0
C002-0120,C002,sales qualification,pricing,0,0,2.02,3,0
C002-0121,C002,renewal reminder,pricing,0,1,2.57,3,0
C002-0122,C002,renewal reminder,cancel,1,0,3.79,4,0
C002-0123,C002,sales qualification,eligibility,1,0,3.75,8,500
C002-0124,C002,renewal reminder,reschedule,1,0,2.98,6,0
C002-0125,C002,support triage,cancel,1,0,4.18,12,0
C002-0126,C002,appointment scheduling,reschedule,1,0,3.74,6,0
C002-0127,C002,support triage,pricing,0,1,2.15,2,0
C002-0128,C002,renewal reminder,pricing,0,0,2.03,2,0
C002-0129,C002,appointment scheduling,pricing,1,0,2.55,6,0
C002-0130,C002,renewal reminder,cancel,1,0,3.01,9,0
C002-0131,C002,support triage,pricing,0,0,1.91,2,0
C002-0132,C002,sales qualification,pricing,0,1,1.57,0,0
C002-0133,C002,appointment scheduling,pricing,0,1,2.37,4,0
C002-0134,C002,renewal reminder,eligibility,0,0,1.91,1,0
C002-0135,C002,support triage,reschedule,0,1,1.77,2,0
C002-0136,C002,sales qualification,cancel,0,0,1.74,2,0
C002-0137,C002,support triage,pricing,0,0,3.07,2,0
C002-0138,C002,renewal reminder,pricing,1,0,2.85,6,0
C002-0139,C002,appointment scheduling,purchase intent,1,0,3.56,4,0
C002-0140,C002,renewal reminder,pricing,1,0,3.12,8,0
C002-0141,C002,renewal reminder,reschedule,1,0,3.56,3,0
C002-0142,C002,renewal reminder,reschedule,0,0,3.0,1,0
C002-0143,C002,support triage,reschedule,0,1,3.18,3,0
C002-0144,C002,support triage,purchase intent,0,1,3.08,0,0
C002-0145,C002,renewal reminder,technical issue,0,1,3.05,0,0
C002-0146,C002,appointment scheduling,pricing,1,0,3.03,5,0
C002-0147,C002,renewal reminder,reschedule,1,0,2.85,7,0
C002-0148,C002,renewal reminder,cancel,1,0,2.87,12,0
C002-0149,C002,appointment scheduling,technical issue,1,0,2.9,4,0
C002-0150,C002,appointment scheduling,reschedule,1,0,3.66,11,0
C002-0151,C002,support triage,cancel,0,0,2.52,0,0
C002-0152,C002,appointment scheduling,cancel,0,1,2.26,1,0
C002-0153,C002,sales qualification,pricing,1,0,3.19,7,250
C002-0154,C002,sales qualification,eligibility,0,0,2.28,2,0
C002-0155,C002,sales qualification,cancel,1,0,4.39,5,1500
C002-0156,C002,appointment scheduling,reschedule,1,0,4.69,7,0
C002-0157,C002,sales qualification,purchase intent,1,0,2.93,5,250
C002-0158,C002,sales qualification,purchase intent,0,0,3.18,3,0
C002-0159,C002,appointment scheduling,purchase intent,1,0,2.83,6,0
C002-0160,C002,appointment scheduling,purchase intent,1,0,2.66,11,0
C002-0161,C002,renewal reminder,cancel,0,0,2.44,2,0
C002-0162,C002,appointment scheduling,technical issue,0,1,1.58,3,0
C002-0163,C002,sales qualification,eligibility,0,1,1.9,2,0
C002-0164,C002,support triage,eligibility,1,0,3.39,3,0
C002-0165,C002,appointment scheduling,eligibility,1,0,3.57,4,0
C002-0166,C002,support triage,cancel,1,0,3.09,9,0
C002-0167,C002,support triage,purchase intent,1,0,2.76,10,0
C002-0168,C002,renewal reminder,eligibility,1,0,3.77,5,0
C002-0169,C002,support triage,eligibility,1,0,2.71,5,0
C002-0170,C002,sales qualification,pricing,1,0,3.1,4,0
C002-0171,C002,sales qualification,technical issue,1,0,4.51,11,1500
C002-0172,C002,sales qualification,pricing,0,0,2.1,1,0
C002-0173,C002,support triage,eligibility,1,0,3.62,11,0
C002-0174,C002,appointment scheduling,reschedule,1,0,2.79,11,0
C002-0175,C002,sales qualification,technical issue,0,0,2.74,3,0
C002-0176,C002,sales qualification,technical issue,0,0,3.28,3,0
C002-0177,C002,support triage,cancel,1,0,4.76,8,0
C002-0178,C002,renewal reminder,technical issue,1,0,3.3,12,0
C002-0179,C002,appointment scheduling,reschedule,0,0,2.05,2,0
C002-0180,C002,sales qualification,eligibility,0,0,2.13,1,0
C002-0181,C002,support triage,purchase intent,1,0,2.98,3,0
C002-0182,C002,sales qualification,purchase intent,1,0,4.83,3,1000
C002-0183,C002,support triage,cancel,1,0,4.04,12,0
C002-0184,C002,appointment scheduling,pricing,1,0,4.44,12,0
C002-0185,C002,support triage,technical issue,1,0,3.75,6,0
C002-0186,C002,support triage,purchase intent,1,0,3.23,5,0
C002-0187,C002,support triage,eligibility,1,0,4.8,7,0
C002-0188,C002,support triage,reschedule,1,0,3.78,10,0
C002-0189,C002,support triage,technical issue,1,0,4.62,12,0
C002-0190,C002,appointment scheduling,purchase intent,1,0,4.27,11,0
C002-0191,C002,appointment scheduling,reschedule,0,0,2.7,4,0
C002-0192,C002,appointment scheduling,eligibility,1,0,3.82,10,0
C002-0193,C002,renewal reminder,reschedule,0,0,1.88,1,0
C002-0194,C002,renewal reminder,cancel,0,1,1.42,1,0
C002-0195,C002,sales qualification,cancel,1,0,3.28,6,500
C002-0196,C002,appointment scheduling,eligibility,1,0,2.55,4,0
C002-0197,C002,appointment scheduling,technical issue,1,0,2.65,10,0
C002-0198,C002,appointment scheduling,purchase intent,0,0,2.44,1,0
C002-0199,C002,renewal reminder,purchase intent,1,0,3.35,6,0
C002-0200,C002,appointment scheduling,purchase intent,0,0,2.88,3,0
C002-0201,C002,appointment scheduling,pricing,0,0,2.23,0,0
C002-0202,C002,renewal reminder,eligibility,0,0,2.4,1,0
C002-0203,C002,renewal reminder,eligibility,0,1,3.15,0,0
C002-0204,C002,renewal reminder,cancel,0,1,1.98,2,0
C002-0205,C002,appointment scheduling,technical issue,1,0,3.83,8,0
C002-0206,C002,support triage,cancel,0,1,2.16,1,0
C002-0207,C002,appointment scheduling,eligibility,0,1,2.55,1,0
C002-0208,C002,support triage,eligibility,0,1,2.05,1,0
C002-0209,C002,appointment scheduling,pricing,1,0,3.52,3,0
C002-0210,C002,support triage,cancel,1,0,4.65,11,0
C002-0211,C002,appointment scheduling,eligibility,1,0,4.9,11,0
C002-0212,C002,renewal reminder,eligibility,1,0,3.36,8,0
C002-0213,C002,renewal reminder,pricing,0,0,2.45,3,0
C002-0214,C002,appointment scheduling,eligibility,1,0,4.06,5,0
C002-0215,C002,sales qualification,eligibility,0,1,2.2,4,0
C002-0216,C002,appointment scheduling,pricing,1,0,4.29,5,0
C002-0217,C002,appointment scheduling,cancel,1,0,4.85,11,0
C002-0218,C002,sales qualification,eligibility,1,0,4.65,9,500
C002-0219,C002,sales qualification,eligibility,1,0,4.46,6,250
