contact_id,age,job,marital,education,balance,housing,loan,contact,day,month,call_duration_seconds,campaign_contacts,days_since_previous_contact,previous_contacts,previous_outcome,customer_segment,converted,converted_flag
BM00069,55,technician,married,secondary,1205,yes,no,unknown,5,may,158,2,-1,0,unknown,technician / secondary,no,0
BM00070,35,blue-collar,single,secondary,12223,yes,yes,unknown,5,may,177,1,-1,0,unknown,blue-collar / secondary,no,0
BM00071,57,blue-collar,married,secondary,5935,yes,yes,unknown,5,may,258,1,-1,0,unknown,blue-collar / secondary,no,0
BM00072,31,services,married,secondary,25,yes,yes,unknown,5,may,172,1,-1,0,unknown,services / secondary,no,0
BM00073,54,management,married,secondary,282,yes,yes,unknown,5,may,154,1,-1,0,unknown,management / secondary,no,0
BM00074,55,blue-collar,married,primary,23,yes,no,unknown,5,may,291,1,-1,0,unknown,blue-collar / primary,no,0
BM00075,43,technician,married,secondary,1937,yes,no,unknown,5,may,181,1,-1,0,unknown,technician / secondary,no,0
BM00076,53,technician,married,secondary,384,yes,no,unknown,5,may,176,1,-1,0,unknown,technician / secondary,no,0
BM00077,44,blue-collar,married,secondary,582,no,yes,unknown,5,may,211,1,-1,0,unknown,blue-collar / secondary,no,0
BM00078,55,services,divorced,secondary,91,no,no,unknown,5,may,349,1,-1,0,unknown,services / secondary,no,0
BM00079,49,services,divorced,secondary,0,yes,yes,unknown,5,may,272,1,-1,0,unknown,services / secondary,no,0
BM00080,55,services,divorced,secondary,1,yes,no,unknown,5,may,208,1,-1,0,unknown,services / secondary,no,0
BM00081,45,admin.,single,secondary,206,yes,no,unknown,5,may,193,1,-1,0,unknown,admin. / secondary,no,0
BM00082,47,services,divorced,secondary,164,no,no,unknown,5,may,212,1,-1,0,unknown,services / secondary,no,0
BM00083,42,technician,single,secondary,690,yes,no,unknown,5,may,20,1,-1,0,unknown,technician / secondary,no,0
BM00084,59,admin.,married,secondary,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,admin. / secondary,yes,1
BM00085,46,self-employed,married,tertiary,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,self-employed / tertiary,no,0
BM00086,51,blue-collar,married,primary,173,yes,no,unknown,5,may,529,2,-1,0,unknown,blue-collar / primary,no,0
BM00087,56,admin.,married,secondary,45,no,no,unknown,5,may,1467,1,-1,0,unknown,admin. / secondary,yes,1
BM00088,41,technician,married,secondary,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,technician / secondary,yes,1
BM00089,46,management,divorced,secondary,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,management / secondary,no,0
BM00090,57,retired,married,secondary,486,yes,no,unknown,5,may,180,2,-1,0,unknown,retired / secondary,no,0
BM00091,42,management,single,secondary,50,no,no,unknown,5,may,48,1,-1,0,unknown,management / secondary,no,0
BM00092,30,technician,married,secondary,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,technician / secondary,no,0
BM00093,60,admin.,married,secondary,290,yes,no,unknown,5,may,583,1,-1,0,unknown,admin. / secondary,no,0
BM00094,60,blue-collar,married,unknown,54,yes,no,unknown,5,may,221,1,-1,0,unknown,blue-collar / unknown,no,0
BM00095,57,entrepreneur,divorced,secondary,-37,no,no,unknown,5,may,173,1,-1,0,unknown,entrepreneur / secondary,no,0
BM00096,36,management,married,tertiary,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,management / tertiary,no,0
BM00097,55,blue-collar,married,secondary,383,no,no,unknown,5,may,287,1,-1,0,unknown,blue-collar / secondary,no,0
BM00098,60,retired,married,tertiary,81,yes,no,unknown,5,may,101,1,-1,0,unknown,retired / tertiary,no,0
BM00099,39,technician,married,secondary,0,yes,no,unknown,5,may,203,1,-1,0,unknown,technician / secondary,no,0
BM00100,46,management,married,tertiary,229,yes,no,unknown,5,may,197,1,-1,0,unknown,management / tertiary,no,0
BM00101,44,blue-collar,married,secondary,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,blue-collar / secondary,no,0
BM00102,53,blue-collar,married,primary,90,no,no,unknown,5,may,124,1,-1,0,unknown,blue-collar / primary,no,0
BM00103,52,blue-collar,married,primary,128,yes,no,unknown,5,may,229,1,-1,0,unknown,blue-collar / primary,no,0
BM00104,59,blue-collar,married,primary,179,yes,no,unknown,5,may,55,3,-1,0,unknown,blue-collar / primary,no,0
BM00105,27,technician,single,tertiary,0,yes,no,unknown,5,may,400,1,-1,0,unknown,technician / tertiary,no,0
BM00106,44,blue-collar,married,secondary,54,yes,no,unknown,5,may,197,1,-1,0,unknown,blue-collar / secondary,no,0
BM00107,47,technician,married,tertiary,151,yes,no,unknown,5,may,190,1,-1,0,unknown,technician / tertiary,no,0
BM00108,34,admin.,married,secondary,61,no,yes,unknown,5,may,21,1,-1,0,unknown,admin. / secondary,no,0
BM00109,59,retired,single,secondary,30,yes,no,unknown,5,may,514,1,-1,0,unknown,retired / secondary,no,0
BM00110,45,management,married,tertiary,523,yes,no,unknown,5,may,849,2,-1,0,unknown,management / tertiary,no,0
BM00111,29,services,divorced,secondary,31,yes,no,unknown,5,may,194,1,-1,0,unknown,services / secondary,no,0
BM00112,46,technician,divorced,secondary,79,no,no,unknown,5,may,144,1,-1,0,unknown,technician / secondary,no,0
BM00113,56,self-employed,married,primary,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,self-employed / primary,no,0
BM00114,36,blue-collar,married,primary,448,yes,no,unknown,5,may,286,1,-1,0,unknown,blue-collar / primary,no,0
BM00115,59,retired,divorced,primary,81,yes,no,unknown,5,may,107,1,-1,0,unknown,retired / primary,no,0
BM00116,44,blue-collar,married,secondary,144,yes,no,unknown,5,may,247,2,-1,0,unknown,blue-collar / secondary,no,0
BM00117,41,admin.,married,secondary,351,yes,no,unknown,5,may,518,1,-1,0,unknown,admin. / secondary,no,0
BM00118,33,management,single,tertiary,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,management / tertiary,no,0
BM00119,59,management,divorced,tertiary,262,no,no,unknown,5,may,178,1,-1,0,unknown,management / tertiary,no,0
BM00120,57,technician,married,primary,0,no,no,unknown,5,may,98,1,-1,0,unknown,technician / primary,no,0
BM00121,56,technician,divorced,unknown,56,yes,no,unknown,5,may,439,1,-1,0,unknown,technician / unknown,no,0
BM00122,51,blue-collar,married,secondary,26,yes,no,unknown,5,may,79,1,-1,0,unknown,blue-collar / secondary,no,0
BM00123,34,admin.,married,unknown,3,yes,no,unknown,5,may,120,3,-1,0,unknown,admin. / unknown,no,0
BM00124,43,services,married,secondary,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,services / secondary,no,0
BM00125,52,technician,married,tertiary,7,no,yes,unknown,5,may,175,1,-1,0,unknown,technician / tertiary,no,0
BM00126,33,technician,single,secondary,105,yes,no,unknown,5,may,262,2,-1,0,unknown,technician / secondary,no,0
BM00127,29,admin.,single,secondary,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,admin. / secondary,no,0
BM00128,34,services,married,secondary,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,services / secondary,no,0
BM00129,31,blue-collar,married,secondary,0,yes,no,unknown,5,may,143,1,-1,0,unknown,blue-collar / secondary,no,0
BM00130,55,services,married,secondary,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,services / secondary,yes,1
BM00131,55,management,married,unknown,1185,no,no,unknown,5,may,677,1,-1,0,unknown,management / unknown,no,0
BM00132,32,admin.,single,secondary,217,yes,no,unknown,5,may,345,1,-1,0,unknown,admin. / secondary,no,0
BM00133,38,technician,single,secondary,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,technician / secondary,no,0
BM00134,55,admin.,single,secondary,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,admin. / secondary,no,0
BM00135,28,unemployed,single,tertiary,0,yes,no,unknown,5,may,125,2,-1,0,unknown,unemployed / tertiary,no,0
BM00136,23,blue-collar,married,secondary,94,yes,no,unknown,5,may,193,1,-1,0,unknown,blue-collar / secondary,no,0
BM00137,32,technician,single,secondary,0,yes,no,unknown,5,may,136,1,-1,0,unknown,technician / secondary,no,0
BM00138,43,services,single,unknown,0,no,no,unknown,5,may,73,1,-1,0,unknown,services / unknown,no,0
BM00139,32,blue-collar,married,secondary,517,yes,no,unknown,5,may,528,1,-1,0,unknown,blue-collar / secondary,no,0
BM00140,46,blue-collar,married,secondary,265,yes,no,unknown,5,may,541,1,-1,0,unknown,blue-collar / secondary,no,0
BM00141,53,housemaid,divorced,primary,947,yes,no,unknown,5,may,163,1,-1,0,unknown,housemaid / primary,no,0
BM00142,34,self-employed,single,secondary,3,yes,no,unknown,5,may,301,1,-1,0,unknown,self-employed / secondary,no,0
BM00143,57,unemployed,married,tertiary,42,no,no,unknown,5,may,46,1,-1,0,unknown,unemployed / tertiary,no,0
BM00144,37,blue-collar,married,secondary,37,yes,no,unknown,5,may,204,1,-1,0,unknown,blue-collar / secondary,no,0
BM00145,59,blue-collar,married,secondary,57,yes,no,unknown,5,may,98,1,-1,0,unknown,blue-collar / secondary,no,0
BM00146,33,services,married,secondary,22,yes,no,unknown,5,may,71,1,-1,0,unknown,services / secondary,no,0
BM00147,56,blue-collar,divorced,primary,8,yes,no,unknown,5,may,157,2,-1,0,unknown,blue-collar / primary,no,0
BM00148,48,unemployed,married,secondary,293,yes,no,unknown,5,may,243,1,-1,0,unknown,unemployed / secondary,no,0
BM00149,43,services,married,primary,3,yes,no,unknown,5,may,186,2,-1,0,unknown,services / primary,no,0
BM00150,54,blue-collar,married,primary,348,yes,no,unknown,5,may,579,2,-1,0,unknown,blue-collar / primary,no,0
BM00151,51,blue-collar,married,unknown,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,blue-collar / unknown,no,0
BM00152,26,student,single,secondary,0,yes,no,unknown,5,may,610,2,-1,0,unknown,student / secondary,no,0
BM00153,40,management,married,tertiary,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,management / tertiary,no,0
BM00154,39,management,married,secondary,18,yes,no,unknown,5,may,85,1,-1,0,unknown,management / secondary,no,0
BM00155,50,technician,married,primary,139,no,no,unknown,5,may,114,2,-1,0,unknown,technician / primary,no,0
BM00156,41,services,married,secondary,0,yes,no,unknown,5,may,114,2,-1,0,unknown,services / secondary,no,0
BM00157,51,blue-collar,married,unknown,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,blue-collar / unknown,no,0
BM00158,60,retired,divorced,secondary,216,yes,no,unknown,5,may,238,1,-1,0,unknown,retired / secondary,no,0
BM00159,52,blue-collar,married,secondary,782,yes,no,unknown,5,may,93,3,-1,0,unknown,blue-collar / secondary,no,0
BM00160,48,blue-collar,married,secondary,904,yes,no,unknown,5,may,128,2,-1,0,unknown,blue-collar / secondary,no,0
BM00161,48,services,married,unknown,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,services / unknown,no,0
BM00162,39,technician,single,tertiary,47,yes,no,unknown,5,may,181,1,-1,0,unknown,technician / tertiary,no,0
BM00163,47,services,single,secondary,176,yes,no,unknown,5,may,303,2,-1,0,unknown,services / secondary,no,0
BM00164,40,blue-collar,married,secondary,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,blue-collar / secondary,no,0
BM00165,45,technician,married,secondary,86,yes,no,unknown,5,may,270,1,-1,0,unknown,technician / secondary,no,0
BM00166,26,admin.,single,secondary,82,yes,no,unknown,5,may,228,1,-1,0,unknown,admin. / secondary,no,0
BM00167,52,management,married,tertiary,271,yes,no,unknown,5,may,99,1,-1,0,unknown,management / tertiary,no,0
BM00168,54,technician,married,secondary,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,technician / secondary,no,0
BM00169,54,admin.,married,tertiary,184,no,no,unknown,5,may,673,2,-1,0,unknown,admin. / tertiary,yes,1
BM00170,50,blue-collar,married,primary,0,no,no,unknown,5,may,233,3,-1,0,unknown,blue-collar / primary,no,0
BM00171,35,blue-collar,married,secondary,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,blue-collar / secondary,no,0
BM00172,44,services,married,secondary,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,services / secondary,no,0
BM00173,53,entrepreneur,married,unknown,19,yes,no,unknown,5,may,252,1,-1,0,unknown,entrepreneur / unknown,no,0
BM00174,35,retired,single,primary,434,no,no,unknown,5,may,138,1,-1,0,unknown,retired / primary,no,0
BM00175,60,admin.,divorced,secondary,92,yes,no,unknown,5,may,130,1,-1,0,unknown,admin. / secondary,no,0
BM00176,53,admin.,divorced,secondary,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,admin. / secondary,no,0
BM00177,48,unemployed,married,secondary,41,yes,no,unknown,5,may,179,2,-1,0,unknown,unemployed / secondary,no,0
BM00178,34,technician,married,secondary,51,yes,no,unknown,5,may,19,2,-1,0,unknown,technician / secondary,no,0
BM00179,54,services,married,secondary,214,yes,no,unknown,5,may,458,2,-1,0,unknown,services / secondary,no,0
BM00180,51,management,married,secondary,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,management / secondary,no,0
BM00181,31,services,married,tertiary,37,yes,no,unknown,5,may,313,1,-1,0,unknown,services / tertiary,no,0
BM00182,35,technician,divorced,secondary,787,yes,no,unknown,5,may,683,2,-1,0,unknown,technician / secondary,no,0
BM00183,35,services,married,secondary,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,services / secondary,no,0
BM00184,38,technician,married,secondary,253,yes,no,unknown,5,may,416,1,-1,0,unknown,technician / secondary,no,0
BM00185,36,admin.,married,tertiary,211,yes,no,unknown,5,may,146,2,-1,0,unknown,admin. / tertiary,no,0
BM00186,58,retired,married,primary,235,yes,no,unknown,5,may,167,1,-1,0,unknown,retired / primary,no,0
BM00187,40,services,divorced,unknown,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,services / unknown,no,0
BM00188,54,management,married,secondary,4080,no,no,unknown,5,may,140,1,-1,0,unknown,management / secondary,no,0
BM00189,34,blue-collar,single,secondary,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,blue-collar / secondary,no,0
BM00190,31,management,single,tertiary,0,yes,no,unknown,5,may,562,1,-1,0,unknown,management / tertiary,no,0
BM00191,51,retired,married,secondary,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,retired / secondary,no,0
BM00192,33,management,married,tertiary,377,yes,no,unknown,5,may,217,1,-1,0,unknown,management / tertiary,no,0
BM00193,55,management,married,tertiary,73,yes,no,unknown,5,may,142,2,-1,0,unknown,management / tertiary,no,0
BM00194,42,admin.,married,secondary,445,yes,no,unknown,5,may,67,1,-1,0,unknown,admin. / secondary,no,0
BM00195,34,blue-collar,married,secondary,243,yes,no,unknown,5,may,291,1,-1,0,unknown,blue-collar / secondary,no,0
BM00196,33,blue-collar,single,secondary,307,yes,no,unknown,5,may,309,2,-1,0,unknown,blue-collar / secondary,no,0
BM00197,38,services,married,secondary,155,yes,no,unknown,5,may,248,1,-1,0,unknown,services / secondary,no,0
BM00198,50,technician,divorced,tertiary,173,no,yes,unknown,5,may,98,1,-1,0,unknown,technician / tertiary,no,0
BM00199,43,management,married,tertiary,400,yes,no,unknown,5,may,256,1,-1,0,unknown,management / tertiary,no,0
BM00200,61,blue-collar,divorced,primary,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,blue-collar / primary,no,0
BM00201,47,admin.,married,secondary,219,yes,no,unknown,5,may,577,1,-1,0,unknown,admin. / secondary,no,0
BM00202,48,self-employed,married,tertiary,7,yes,no,unknown,5,may,286,1,-1,0,unknown,self-employed / tertiary,no,0
BM00203,44,blue-collar,married,secondary,575,yes,no,unknown,5,may,477,1,-1,0,unknown,blue-collar / secondary,no,0
BM00204,35,student,single,unknown,298,yes,no,unknown,5,may,611,2,-1,0,unknown,student / unknown,no,0
BM00205,35,services,married,secondary,0,yes,no,unknown,5,may,471,1,-1,0,unknown,services / secondary,no,0
BM00206,50,services,married,secondary,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,services / secondary,no,0
BM00207,41,management,married,tertiary,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,management / tertiary,no,0
BM00208,41,management,married,tertiary,517,yes,no,unknown,5,may,251,1,-1,0,unknown,management / tertiary,no,0
BM00209,39,services,single,unknown,257,yes,no,unknown,5,may,408,1,-1,0,unknown,services / unknown,no,0
BM00210,42,retired,married,secondary,56,yes,no,unknown,5,may,215,1,-1,0,unknown,retired / secondary,no,0
BM00211,38,blue-collar,married,secondary,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,blue-collar / secondary,no,0
BM00212,53,retired,married,secondary,330,yes,no,unknown,5,may,216,2,-1,0,unknown,retired / secondary,no,0
BM00213,59,housemaid,divorced,primary,195,no,no,unknown,5,may,366,2,-1,0,unknown,housemaid / primary,no,0
BM00214,36,services,married,secondary,301,yes,no,unknown,5,may,210,1,-1,0,unknown,services / secondary,no,0
BM00215,54,blue-collar,married,primary,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,blue-collar / primary,no,0
BM00216,40,technician,married,tertiary,483,yes,no,unknown,5,may,168,1,-1,0,unknown,technician / tertiary,no,0
BM00217,47,unknown,married,unknown,28,no,no,unknown,5,may,338,2,-1,0,unknown,unknown / unknown,no,0
BM00218,53,unemployed,married,unknown,13,no,no,unknown,5,may,410,3,-1,0,unknown,unemployed / unknown,no,0
BM00219,46,housemaid,married,primary,965,no,no,unknown,5,may,177,1,-1,0,unknown,housemaid / primary,no,0
BM00220,39,management,married,tertiary,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,management / tertiary,no,0
BM00221,40,unemployed,married,secondary,219,yes,no,unknown,5,may,357,1,-1,0,unknown,unemployed / secondary,no,0
BM00222,28,blue-collar,married,primary,324,yes,no,unknown,5,may,175,1,-1,0,unknown,blue-collar / primary,no,0
BM00223,35,entrepreneur,divorced,secondary,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,entrepreneur / secondary,no,0
BM00224,55,retired,married,secondary,0,no,yes,unknown,5,may,136,1,-1,0,unknown,retired / secondary,no,0
BM00225,43,technician,divorced,unknown,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,technician / unknown,no,0
BM00226,48,blue-collar,married,primary,278,yes,no,unknown,5,may,125,2,-1,0,unknown,blue-collar / primary,no,0
BM00227,58,management,married,unknown,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,management / unknown,no,0
BM00228,33,management,single,tertiary,34,yes,no,unknown,5,may,27,1,-1,0,unknown,management / tertiary,no,0
BM00229,36,blue-collar,married,unknown,1033,no,no,unknown,5,may,238,2,-1,0,unknown,blue-collar / unknown,no,0
BM00230,53,services,divorced,secondary,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,services / secondary,no,0
BM00231,47,blue-collar,married,primary,-12,yes,no,unknown,5,may,18,1,-1,0,unknown,blue-collar / primary,no,0
BM00232,31,services,married,secondary,388,yes,no,unknown,5,may,730,2,-1,0,unknown,services / secondary,no,0
BM00233,57,entrepreneur,married,secondary,294,yes,no,unknown,5,may,746,2,-1,0,unknown,entrepreneur / secondary,no,0
BM00234,53,blue-collar,married,unknown,1827,no,no,unknown,5,may,121,1,-1,0,unknown,blue-collar / unknown,no,0
BM00235,55,blue-collar,married,primary,627,yes,no,unknown,5,may,247,1,-1,0,unknown,blue-collar / primary,no,0
BM00236,45,blue-collar,married,primary,25,yes,no,unknown,5,may,40,1,-1,0,unknown,blue-collar / primary,no,0
BM00237,53,admin.,divorced,secondary,315,yes,no,unknown,5,may,181,2,-1,0,unknown,admin. / secondary,no,0
BM00238,37,blue-collar,married,primary,0,yes,no,unknown,5,may,79,1,-1,0,unknown,blue-collar / primary,no,0
BM00239,44,admin.,divorced,secondary,66,yes,no,unknown,5,may,206,1,-1,0,unknown,admin. / secondary,no,0
BM00240,49,blue-collar,divorced,primary,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,blue-collar / primary,no,0
BM00241,46,technician,married,secondary,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,technician / secondary,no,0
