member_id,channel,message_type,responded
M0101,sms,benefits,1
M0102,sms,benefits,0
M0103,phone_call,renewal,0
M0104,sms,support,0
M0105,phone_call,support,0
M0106,app_notification,appointment,1
M0107,phone_call,benefits,0
M0108,phone_call,renewal,0
M0109,app_notification,renewal,1
M0110,app_notification,appointment,0
M0111,sms,renewal,0
M0112,app_notification,benefits,0
M0113,phone_call,renewal,1
M0114,app_notification,appointment,0
M0115,app_notification,renewal,1
M0116,app_notification,renewal,1
M0117,sms,support,1
M0118,sms,support,0
M0119,sms,renewal,0
M0120,sms,benefits,1
M0121,sms,support,0
M0122,sms,benefits,0
M0123,app_notification,appointment,1
M0124,sms,benefits,0
M0125,sms,renewal,1
M0126,app_notification,benefits,1
M0127,app_notification,benefits,0
M0128,sms,benefits,1
M0129,sms,support,0
M0130,sms,support,0
M0131,app_notification,renewal,1
M0132,sms,appointment,1
M0133,app_notification,renewal,0
M0134,app_notification,support,1
M0135,sms,support,1
M0136,phone_call,support,0
M0137,app_notification,support,0
M0138,app_notification,benefits,0
M0139,phone_call,benefits,0
M0140,sms,appointment,0
M0141,sms,appointment,1
M0142,sms,benefits,0
M0143,phone_call,benefits,0
M0144,app_notification,renewal,0
M0145,app_notification,renewal,1
M0146,phone_call,appointment,1
M0147,phone_call,benefits,0
M0148,app_notification,support,0
M0149,app_notification,appointment,0
M0150,app_notification,support,1
M0151,phone_call,benefits,0
M0152,sms,support,0
M0153,app_notification,benefits,0
M0154,app_notification,appointment,0
M0155,sms,renewal,0
M0156,sms,renewal,0
M0157,sms,appointment,0
M0158,app_notification,support,1
M0159,app_notification,benefits,1
M0160,app_notification,support,0
M0161,app_notification,renewal,0
M0162,app_notification,benefits,0
M0163,app_notification,renewal,1
M0164,phone_call,benefits,0
M0165,sms,benefits,0
M0166,app_notification,appointment,0
M0167,phone_call,benefits,0
M0168,phone_call,renewal,0
M0169,app_notification,renewal,0
M0170,sms,appointment,0
M0171,app_notification,support,1
M0172,app_notification,support,1
M0173,app_notification,support,1
M0174,sms,renewal,0
M0175,app_notification,appointment,0
M0176,app_notification,appointment,0
M0177,sms,appointment,0
M0178,sms,benefits,1
M0179,app_notification,support,0
M0180,phone_call,appointment,0
M0181,phone_call,appointment,0
M0182,app_notification,benefits,1
M0183,app_notification,support,0
M0184,app_notification,benefits,0
M0185,sms,appointment,0
M0186,app_notification,support,1
M0187,sms,renewal,0
M0188,app_notification,support,0
M0189,sms,support,0
M0190,sms,support,0
M0191,sms,support,1
M0192,app_notification,appointment,0
M0193,app_notification,appointment,1
M0194,phone_call,renewal,1
M0195,app_notification,renewal,0
M0196,phone_call,appointment,0
M0197,app_notification,appointment,1
M0198,sms,support,1
M0199,app_notification,support,0
M0200,sms,support,0
M0201,phone_call,benefits,0
M0202,sms,renewal,1
M0203,sms,benefits,1
M0204,sms,appointment,0
M0205,sms,appointment,0
M0206,phone_call,appointment,0
M0207,app_notification,appointment,1
M0208,sms,support,0
M0209,sms,renewal,0
M0210,app_notification,appointment,1
M0211,app_notification,appointment,1
M0212,phone_call,support,0
M0213,sms,support,0
M0214,sms,benefits,1
M0215,app_notification,appointment,0
M0216,app_notification,benefits,1
M0217,sms,appointment,0
M0218,phone_call,benefits,1
M0219,sms,renewal,0
M0220,phone_call,appointment,1
M0221,app_notification,support,1
M0222,phone_call,support,0
M0223,sms,support,0
M0224,sms,renewal,0
M0225,app_notification,renewal,1
M0226,sms,appointment,1
M0227,sms,renewal,0
M0228,phone_call,benefits,0
M0229,phone_call,appointment,0
M0230,phone_call,support,0
M0231,sms,appointment,0
M0232,app_notification,renewal,1
M0233,phone_call,appointment,0
M0234,sms,renewal,0
M0235,app_notification,appointment,1
M0236,phone_call,support,0
M0237,app_notification,support,0
M0238,sms,renewal,0
M0239,sms,appointment,1
M0240,app_notification,benefits,0
M0241,app_notification,appointment,0
M0242,phone_call,benefits,0
M0243,app_notification,support,0
M0244,sms,support,0
M0245,app_notification,appointment,1
M0246,app_notification,support,0
M0247,phone_call,renewal,1
M0248,phone_call,benefits,0
M0249,sms,benefits,0
M0250,app_notification,support,0
M0251,phone_call,appointment,1
M0252,phone_call,benefits,0
M0253,app_notification,renewal,0
M0254,app_notification,support,0
M0255,app_notification,support,1
M0256,phone_call,appointment,0
M0257,phone_call,appointment,1
M0258,sms,appointment,0
M0259,phone_call,appointment,0
M0260,phone_call,support,1
M0261,app_notification,appointment,0
M0262,app_notification,renewal,1
M0263,phone_call,benefits,0
M0264,phone_call,appointment,0
M0265,sms,support,0
M0266,phone_call,renewal,1
M0267,sms,renewal,0
M0268,app_notification,renewal,0
M0269,sms,benefits,0
M0270,phone_call,support,1
M0271,app_notification,support,0
M0272,sms,support,1
M0273,sms,renewal,0
M0274,phone_call,benefits,0
M0275,phone_call,support,0
M0276,phone_call,support,0
M0277,sms,support,1
M0278,app_notification,appointment,1
M0279,phone_call,support,0
M0280,phone_call,benefits,1
M0281,sms,renewal,1
M0282,phone_call,benefits,0
M0283,sms,benefits,1
M0284,phone_call,support,0
M0285,sms,appointment,0
M0286,phone_call,support,0
M0287,phone_call,renewal,0
M0288,sms,renewal,0
M0289,sms,appointment,0
M0290,sms,renewal,1
M0291,app_notification,benefits,1
M0292,phone_call,appointment,0
M0293,sms,appointment,1
M0294,sms,appointment,0
M0295,sms,benefits,0
M0296,app_notification,appointment,1
M0297,phone_call,support,0
M0298,app_notification,appointment,0
M0299,sms,renewal,0
M0300,phone_call,benefits,0
